agency_name,sub_agency,recipient,assist_type,biz_code,n_row,n_award,sum_row
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,AR CHILDRENS HOSPITAL RESEARCH INSTITUTE,PROJECT GRANT (B),M,13,8,6559320
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,BUTLER HOSPITAL,COOPERATIVE AGREEMENT (B),M,13,8,4379663
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,BUTLER HOSPITAL,PROJECT GRANT (B),M,13,12,2347046
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"MASSACHUSETTS GENERAL HOSPITAL, THE",PROJECT GRANT (B),N,13,10,6308243
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,COOPERATIVE AGREEMENT (B),M,13,9,5736339
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,ST. JUDE CHILDREN'S RESEARCH HOSPITAL,PROJECT GRANT (B),M,13,12,4679191
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,WOMEN & INFANTS HOSPITAL OF RHODE ISLAND,PROJECT GRANT (B),M,13,7,3605745
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,NORTH DAKOTA HOSPITAL FOUNDATION,PROJECT GRANT (B),M,13,1,1503279
DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT (HUD),ASSISTANT SECRETARY FOR HOUSING--FEDERAL HOUSING COMMISSIONER,"GUNDERSEN LUTHERAN MEDICAL CENTER, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",Q,13,10,199500
DEPARTMENT OF AGRICULTURE (USDA),FOOD AND NUTRITION SERVICE,ACL HOSPITAL BOARD  NM,FORMULA GRANT (A),I,12,5,188140
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"BON SECOURS-MEMORIAL REGIONAL MEDICAL CENTER, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,12,5,307112.52999999997
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,12,3,517377.5
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,OHIO VALLEY GENERAL HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,12,2,35198
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,BENEWAH MEDICAL CENTER,PROJECT GRANT (B),X,12,5,2118853
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,FAMILY MEDICAL CENTER OF MICHIGAN INC,PROJECT GRANT (B),X,12,4,2081252
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,GRANT COUNTY HOSPITAL DISTRICT 5,PROJECT GRANT (B),X,12,3,1786548
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,MARY HITCHCOCK MEMORIAL HOSPITAL,PROJECT GRANT (B),X,12,5,972576
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,MAURY REGIONAL HOSPITAL,PROJECT GRANT (B),X,12,5,2566223
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,PUSHMATAHA FAMILY MEDICAL CENTER INC.,PROJECT GRANT (B),X,12,5,2615256
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"SOUTHERN CALIFORNIA MEDICAL CENTER, INC.",PROJECT GRANT (B),X,12,4,2066149
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"UNIVERSITY OF KANSAS MEDICAL CENTER RESEARCH INSTITUTE, INC.",PROJECT GRANT (B),X,12,9,2627602
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),INDIAN HEALTH SERVICE,"NAVAJO HEALTH FOUNDATION - SAGE MEMORIAL HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",K,12,2,22909414.1
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,"CONNECTICUT HOSPITAL ASSOCIATION, INCORPORATED, THE",PROJECT GRANT (B),N,12,1,1945335
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,IDAHO HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,12,1,1097110
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,"INDIANA HOSPITAL ASSOCIATION, INC.",PROJECT GRANT (B),X,12,1,4014453
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,IOWA HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,12,1,2722917
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,"MARYLAND HOSPITAL ASSOCIATION, INCORPORATED, THE",PROJECT GRANT (B),X,12,1,2133857
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,MINNESOTA HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,12,1,3502638
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,NEBRASKA HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,12,1,2105570
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,NEW JERSEY HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,12,1,4294332
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,NEW MEXICO HOSPITAL EDUCATION AND RESEARCH FOUNDATION,PROJECT GRANT (B),M,12,1,1406041
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,TENNESSEE HOSPITAL ASSOCIATION,PROJECT GRANT (B),X,12,1,3619628
DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF THE ARMY,"MASSACHUSETTS GENERAL HOSPITAL, THE",PROJECT GRANT (B),MX,11,9,7867586
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"PETERSBURG HOSPITAL COMPANY, LLC","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,11,2,211191.56
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,CARILION MEDICAL CENTER,PROJECT GRANT (B),X,11,3,696842.78
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,CHILDREN'S HOSPITAL MEDICAL CENTER,COOPERATIVE AGREEMENT (B),M,11,2,1460657
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,CHILDREN'S HOSPITAL MEDICAL CENTER,PROJECT GRANT (B),M,11,6,2193130
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"CHILDREN'S HOSPITAL OF PHILADELPHIA, THE",PROJECT GRANT (B),X,11,8,2617521
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,CROSS TRAILS MEDICAL CENTER,PROJECT GRANT (B),X,11,4,3188219
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"OAKHURST MEDICAL CENTERS, INC.",PROJECT GRANT (B),X,11,3,4046863
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"OUR LADY OF THE LAKE HOSPITAL, INC.",PROJECT GRANT (B),X,11,4,1110442
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,PEDIATRIC & FAMILY MEDICAL CENTER,PROJECT GRANT (B),X,11,4,7306136
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,PERSON FAMILY MEDICAL CENTER,PROJECT GRANT (B),X,11,3,2467063
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,PLAQUEMINES PARISH HOSPITAL SERVICE DISTRICT NUMBER ONE,PROJECT GRANT (B),X,11,4,1627627
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL,PROJECT GRANT (B),M,11,6,1096146
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"SAINT LUKE'S HOSPITAL OF BETHLEHEM, PENNSYLVANIA",PROJECT GRANT (B),X,11,4,1093390
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER, THE",PROJECT GRANT (B),X,11,4,1877523
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"BRIGHAM AND WOMEN'S HOSPITAL, INC., THE",COOPERATIVE AGREEMENT (B),O,11,2,22795108
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"HOSPITAL FOR SPECIAL SURGERY FUND, INC., THE",COOPERATIVE AGREEMENT (B),M,11,2,1002860
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER, THE",PROJECT GRANT (B),M,11,7,2094842
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,ALASKA STATE HOSPITAL & NURSING HOME ASSN,PROJECT GRANT (B),X,11,1,750000
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,COLORADO HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,11,1,2738332
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,DISTRICT OF COLUMBIA HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,11,1,1168047
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,HOSPITAL AND HEALTHSYSTEM ASSOCIATION OF PENNSYLVANIA,PROJECT GRANT (B),N,11,1,6124264
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,"KENTUCKY HOSPITAL RESEARCH AND EDUCATION FOUNDATION, INC.",PROJECT GRANT (B),X,11,1,1805649
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,NEVADA HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,11,1,1279080
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,BEXAR COUNTY HOSPITAL DISTRICT,PROJECT GRANT (B),X,11,5,1405395
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,MASSACHUSETTS GENERAL HOSPITAL  THE,PROJECT GRANT (B),M,11,6,722368
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"MERCY HOSPITAL, INC.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,10,3,97404.16
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,"BETH ISRAEL DEACONESS MEDICAL CENTER, INC",PROJECT GRANT (B),M,10,7,1694282
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),CENTERS FOR DISEASE CONTROL AND PREVENTION,CHILDREN'S HOSPITAL MEDICAL CENTER,COOPERATIVE AGREEMENT (B),M,10,4,537305
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),CENTERS FOR DISEASE CONTROL AND PREVENTION,SEATTLE CHILDREN'S HOSPITAL,COOPERATIVE AGREEMENT (B),M,10,2,300000
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"BRIGHAM AND WOMEN'S HOSPITAL, INC., THE",COOPERATIVE AGREEMENT (B),M,10,1,1714620
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"CAMDEN-ON-GAULEY MEDICAL CENTER, INC.",PROJECT GRANT (B),X,10,4,1697213
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,CHILDREN'S HOSPITAL,FORMULA GRANT (A),X,10,2,4786880
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"CHILDREN'S HOSPITAL CORPORATION, THE",PROJECT GRANT (B),M,10,8,2715515
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,FRESNO COMMUNITY HOSPITAL AND MEDICAL CENTER,PROJECT GRANT (B),X,10,4,912072
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"SOUTHSIDE MEDICAL CENTER, INC.",PROJECT GRANT (B),X,10,4,10948001
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"ST. CLAIRE MEDICAL CENTER, INC.",PROJECT GRANT (B),X,10,3,1500000
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,PROJECT GRANT (B),H,10,10,1472058
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,ALABAMA HOSPITAL ASSOCIATION,PROJECT GRANT (B),X,10,1,2495882
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,ARIZONA HOSPITAL AND HEALTHCARE ASSOCIATION,PROJECT GRANT (B),N,10,1,2984810
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,"ARKANSAS HOSPITAL ASSOCIATION, INC.",PROJECT GRANT (B),X,10,1,2852119
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,"FLORIDA HOSPITAL ASSOCIATION, INC.",PROJECT GRANT (B),N,10,1,9850557
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,"GEORGIA HOSPITAL ASSOCIATION RESEARCH AND EDUCATION FOUNDATION, INC.",PROJECT GRANT (B),M,10,1,4968173
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,"GREATER NEW YORK HOSPITAL FOUNDATION, INC",PROJECT GRANT (B),M,10,1,3474423
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,HAWAII HOSPITAL EDUCATION AND RESEARCH FOUNDATION,PROJECT GRANT (B),M,10,1,976202
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,HOSPITAL ASSOCIATION OF RHODE ISLAND,PROJECT GRANT (B),N,10,1,1593510
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,ILLINOIS HEALTH AND HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,10,1,6294982
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,KANSAS HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,10,1,2735448
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,LOUISIANA HOSPITAL ASSOCIATION RESEARCH AND EDUCATION FOUNDATION,PROJECT GRANT (B),M,10,1,3291449
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,"MASSACHUSETTS HOSPITAL RESEARCH AND EDUCATIONAL ASSOCIATION, INC.",PROJECT GRANT (B),M,10,1,3841189
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,MICHIGAN HEALTH AND HOSPITAL ASSOCIATION,PROJECT GRANT (B),X,10,1,4941824
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,OKLAHOMA HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,10,1,3079728
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,"RESEARCH AND EDUCATIONAL FOUNDATION OF THE OHIO HOSPITAL ASSOCIATION, THE",PROJECT GRANT (B),M,10,1,5964690
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,SOUTH CAROLINA HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,10,1,2428102
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,TEXAS HOSPITAL ASSOCIATION FOUNDATION,PROJECT GRANT (B),M,10,1,11470238
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,VIRGINIA HOSPITAL & HEALTHCARE ASSOCIATION,PROJECT GRANT (B),N,10,1,3713916
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,WASHINGTON STATE HOSPITAL ASSOCIATION,PROJECT GRANT (B),X,10,1,2636157
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,"WISCONSIN HOSPITAL ASSOCIATION, INC",PROJECT GRANT (B),X,10,1,3773589
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,WYOMING HOSPITAL ASSOCIATION,PROJECT GRANT (B),N,10,1,1322112
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),SUBSTANCE ABUSE AND MENTAL HEALTH SERVICES ADMINISTRATION,BENEWAH MEDICAL CENTER,PROJECT GRANT (B),I,10,4,2201841
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,GRAHAM HOSPITAL ASSOCIATION,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,9,4,152448.73
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"PLANTATION GENERAL HOSPITAL, L.P.","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,9,1,101570.76999999999
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,ST LUKE'S METHODIST HOSPITAL,"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,9,2,73470.5
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"WESTERN PENNSYLVANIA HOSPITAL, THE","DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",M,9,2,134184.6
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),CENTERS FOR DISEASE CONTROL AND PREVENTION,ZIMBABWE ASSOCIATION OF CHURCH RELATED HOSPITAL,PROJECT GRANT (B),X,9,1,3379255
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,BLUE RIDGE MEDICAL CENTER INC,PROJECT GRANT (B),X,9,3,2699507
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,CHAMBERS COUNTY PUBLIC HOSPITAL DISTRICT #1,PROJECT GRANT (B),X,9,3,3191412
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,GRADY MEMORIAL HOSPITAL CORPORATION,PROJECT GRANT (B),M,9,5,2076005
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,HARBORVIEW MEDICAL CENTER,PROJECT GRANT (B),X,9,4,738584
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,JEWISH RENAISSANCE MEDICAL CENTER,PROJECT GRANT (B),X,9,4,4446187
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,"NORTH FLORIDA MEDICAL CENTERS, INC.",PROJECT GRANT (B),X,9,4,3076186
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,ST ANTHONY MEDICAL CENTERS,PROJECT GRANT (B),X,9,4,1899915.32
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,ST LUKE'S-ROOSEVELT HOSPITAL CENTER,PROJECT GRANT (B),M,9,5,3040919
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),HEALTH RESOURCES AND SERVICES ADMINISTRATION,UNITED MEDICAL CENTERS,PROJECT GRANT (B),X,9,4,7671173
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"BAYSTATE MEDICAL CENTER, INC.",PROJECT GRANT (B),M,9,8,3253377
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,EMMA PENDLETON BRADLEY HOSPITAL,COOPERATIVE AGREEMENT (B),M,9,8,-2705756
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"MASSACHUSETTS GENERAL HOSPITAL, THE",PROJECT GRANT (B),O,9,7,1137569
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,UNIVERISTY OF MISSISSIPPI MEDICAL CENTER,COOPERATIVE AGREEMENT (B),H,9,6,5166675
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,"UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER, THE",COOPERATIVE AGREEMENT (B),O,9,5,2057784
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),NATIONAL INSTITUTES OF HEALTH,WOMEN & INFANTS HOSPITAL OF RHODE ISLAND,COOPERATIVE AGREEMENT (B),M,9,5,5313203
DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE,"MAINE HOSPITAL ASSOCIATION, INC.",PROJECT GRANT (B),N,9,1,1167487
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,BETH ISRAEL DEACONESS MEDICAL CENTER  INC,PROJECT GRANT (B),M,9,6,566028
DEPARTMENT OF AGRICULTURE (USDA),FOOD AND NUTRITION SERVICE,ACL HOSPITAL BOARD  NM,FORMULA GRANT (A),A,8,2,280680
DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF THE ARMY,VANDERBILT UNIVERSITY MEDICAL CENTER,PROJECT GRANT (B),MX,8,6,5182589
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,BETH ISRAEL MEDICAL CENTER (INC),"DIRECT PAYMENT FOR SPECIFIED USE, AS A SUBSIDY OR OTHER NON-REIMBURSABLE DIRECT FINANCIAL AID (C)",O,8,3,11909.95
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,"CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY, THE",FORMULA GRANT (A),M,8,6,1474236
DEPARTMENT OF EDUCATION (ED),DEPARTMENT OF EDUCATION,SOUTHEAST MISSOURI HOSPITAL,FORMULA GRANT (A),Q,8,4,777943
